run_id,config,repeat,iterations,mean_ns_per_call,mean_exec_per_sec,stddev
p1_e3_microbench_fp-active_r01,fp-active,r01,100000,377.998,2645520.0,0.0
p1_e3_microbench_fp-active_r02,fp-active,r02,100000,332.443,3008030.0,0.0
p1_e3_microbench_fp-active_r03,fp-active,r03,100000,280.772,3561610.0,0.0
p1_e3_microbench_fp-active_r04,fp-active,r04,100000,572.645,1746280.0,0.0
p1_e3_microbench_fp-active_r05,fp-active,r05,100000,329.027,3039270.0,0.0
p1_e3_microbench_fp-empty_r01,fp-empty,r01,100000,337.627,2961850.0,0.0
p1_e3_microbench_fp-empty_r02,fp-empty,r02,100000,251.115,3982240.0,0.0
p1_e3_microbench_fp-empty_r03,fp-empty,r03,100000,480.684,2080370.0,0.0
p1_e3_microbench_fp-empty_r04,fp-empty,r04,100000,374.272,2671850.0,0.0
p1_e3_microbench_fp-empty_r05,fp-empty,r05,100000,226.54,4414230.0,0.0
p1_e3_microbench_vanilla_r01,vanilla,r01,100000,385.882,2591470.0,0.0
p1_e3_microbench_vanilla_r02,vanilla,r02,100000,564.839,1770420.0,0.0
p1_e3_microbench_vanilla_r03,vanilla,r03,100000,569.551,1755770.0,0.0
p1_e3_microbench_vanilla_r04,vanilla,r04,100000,516.232,1937110.0,0.0
p1_e3_microbench_vanilla_r05,vanilla,r05,100000,507.454,1970620.0,0.0
