# time_s n median_edges min_edges max_edges median_bcov min_bcov max_bcov median_paths min_paths max_paths
0 4 180 180 180 15.530 15.530 15.530 0 0 0
60 4 266 264 267 22.910 22.780 23.040 0 0 0
120 4 267 264 267 23.040 22.780 23.040 0 0 0
180 4 267 267 267 23.040 23.040 23.040 0 0 0
240 4 267 267 267 23.040 23.040 23.040 0 0 0
300 4 267 267 267 23.040 23.040 23.040 0 0 0
360 4 267 267 267 23.040 23.040 23.040 0 0 0
420 4 267 267 267 23.040 23.040 23.040 0 0 0
480 4 267 267 267 23.040 23.040 23.040 0 0 0
540 4 267 267 267 23.040 23.040 23.040 0 0 0
600 4 267 267 268 23.040 23.040 23.120 0 0 0
660 4 268 268 268 23.120 23.120 23.120 0 0 0
720 4 268 268 268 23.120 23.120 23.120 0 0 0
780 4 268 268 268 23.120 23.120 23.120 0 0 0
840 4 268 268 268 23.120 23.120 23.120 0 0 0
900 4 268 268 268 23.120 23.120 23.120 0 0 0
960 4 268 268 268 23.120 23.120 23.120 0 0 0
1020 4 268 268 268 23.120 23.120 23.120 0 0 0
1080 4 268 268 269 23.120 23.120 23.210 0 0 0
1140 4 268 268 269 23.120 23.120 23.210 0 0 0
1200 4 268 268 269 23.120 23.120 23.210 0 0 0
1260 4 268 268 269 23.120 23.120 23.210 0 0 0
1320 4 268 268 269 23.120 23.120 23.210 0 0 0
1380 4 268 268 269 23.120 23.120 23.210 0 0 0
1440 4 268 268 269 23.120 23.120 23.210 0 0 0
1500 4 268 268 269 23.120 23.120 23.210 0 0 0
1560 4 268 268 269 23.120 23.120 23.210 0 0 0
1620 4 268 268 269 23.120 23.120 23.210 0 0 0
1680 4 268 268 269 23.120 23.120 23.210 0 0 0
1740 4 268 268 269 23.120 23.120 23.210 0 0 0
1800 4 268 268 269 23.120 23.120 23.210 0 0 0
1860 4 268 268 269 23.120 23.120 23.210 0 0 0
1920 4 268 268 269 23.120 23.120 23.210 0 0 0
1980 4 268 268 269 23.120 23.120 23.210 0 0 0
2040 4 268 268 269 23.120 23.120 23.210 0 0 0
2100 4 268 268 269 23.120 23.120 23.210 0 0 0
2160 4 268 268 269 23.120 23.120 23.210 0 0 0
2220 4 268 268 269 23.120 23.120 23.210 0 0 0
2280 4 268 268 269 23.120 23.120 23.210 0 0 0
2340 4 268 268 269 23.165 23.120 23.210 0 0 0
2400 4 268 268 269 23.165 23.120 23.210 0 0 0
2460 4 268 268 269 23.165 23.120 23.210 0 0 0
2520 4 268 268 269 23.165 23.120 23.210 0 0 0
2580 4 268 268 269 23.165 23.120 23.210 0 0 0
2640 4 268 268 269 23.165 23.120 23.210 0 0 0
2700 4 268 268 269 23.165 23.120 23.210 0 0 0
2760 4 268 268 269 23.165 23.120 23.210 0 0 0
2820 4 268 268 269 23.165 23.120 23.210 0 0 0
2880 4 268 268 269 23.165 23.120 23.210 0 0 0
2940 4 268 268 269 23.165 23.120 23.210 0 0 0
3000 4 268 268 269 23.165 23.120 23.210 0 0 0
3060 4 268 268 269 23.165 23.120 23.210 0 0 0
3120 4 268 268 269 23.165 23.120 23.210 0 0 0
3180 4 268 268 269 23.165 23.120 23.210 0 0 0
3240 4 268 268 269 23.165 23.120 23.210 0 0 0
3300 4 268 268 269 23.165 23.120 23.210 0 0 0
3360 4 268 268 269 23.165 23.120 23.210 0 0 0
3420 4 268 268 269 23.165 23.120 23.210 0 0 0
3480 4 268 268 269 23.165 23.120 23.210 0 0 0
3540 4 268 268 269 23.165 23.120 23.210 0 0 0
3600 4 268 268 269 23.165 23.120 23.210 0 0 0
3660 4 268 268 269 23.165 23.120 23.210 0 0 0
3720 4 268 268 269 23.165 23.120 23.210 0 0 0
3780 4 268 268 269 23.165 23.120 23.210 0 0 0
3840 4 268 268 269 23.165 23.120 23.210 0 0 0
3900 4 268 268 269 23.165 23.120 23.210 0 0 0
3960 4 269 268 269 23.210 23.120 23.210 0 0 0
4020 4 269 268 269 23.210 23.120 23.210 0 0 0
4080 4 269 268 269 23.210 23.120 23.210 0 0 0
4140 4 269 268 269 23.210 23.120 23.210 0 0 0
4200 4 269 268 269 23.210 23.120 23.210 0 0 0
4260 4 269 268 269 23.210 23.120 23.210 0 0 0
4320 4 269 268 269 23.210 23.120 23.210 0 0 0
4380 4 269 268 269 23.210 23.120 23.210 0 0 0
4440 4 269 269 269 23.210 23.210 23.210 0 0 0
4500 4 269 269 269 23.210 23.210 23.210 0 0 0
4560 4 269 269 269 23.210 23.210 23.210 0 0 0
4620 4 269 269 269 23.210 23.210 23.210 0 0 0
4680 4 269 269 269 23.210 23.210 23.210 0 0 0
4740 4 269 269 269 23.210 23.210 23.210 0 0 0
4800 4 269 269 269 23.210 23.210 23.210 0 0 0
4860 4 269 269 269 23.210 23.210 23.210 0 0 0
4920 4 269 269 269 23.210 23.210 23.210 0 0 0
