# time_s n_runs median_eps min_eps max_eps
0 4 188000 188000 188000
300 4 13349 12978 13534
600 4 13518 13081 13689
900 4 13222 12853 13318
1200 4 13172 12862 13360
1500 4 13159 12889 13307
1800 4 13175 12942 13269
2100 4 13225 12972 13259
2400 4 13216 13010 13264
2700 4 13177 12991 13210
3000 4 13136 12970 13164
3300 4 13057 12914 13083
3600 4 13014 12896 13071
3900 4 13167 13085 13259
4200 4 13168 13074 13274
4500 4 13171 13075 13269
4800 4 13174 13065 13261
5100 4 13165 13055 13233
5400 4 13281 13176 13347
5700 4 13275 13167 13313
6000 4 13267 13153 13295
6300 4 13257 13134 13291
6600 4 13246 13124 13280
6900 4 13240 13106 13276
7200 4 13226 13094 13258
7500 4 13196 13062 13226
7800 4 13168 13032 13208
8100 4 13155 13028 13197
8400 4 13145 13003 13192
8700 4 13137 12987 13188
9000 4 13192 13037 13245
9300 4 13180 13014 13236
9600 4 13172 13005 13223
9900 4 13154 12989 13206
10200 4 13144 12981 13200
10500 4 13128 12958 13189
10800 4 13123 12939 13172
11100 4 13115 12933 13164
11400 4 13096 12912 13147
11700 4 13084 12908 13133
12000 4 13066 12899 13120
12300 4 13021 12856 13083
12600 4 13005 12834 13058
12900 4 13047 12871 13099
13200 4 13065 12880 13128
13500 4 13036 12862 13110
13800 4 13050 12877 13134
14100 4 13025 12851 13122
