# time_s median min max
0 180 180 180
60 263 261 267
120 264 264 267
180 267 264 267
240 267 264 267
300 267 264 267
360 267 264 267
420 267 264 267
480 267 264 267
540 267 264 267
600 267 264 268
660 268 265 268
720 268 265 268
780 268 265 268
840 268 265 268
900 268 265 268
960 268 265 268
1020 268 265 268
1080 268 265 268
1140 268 265 268
1200 268 265 268
1260 268 265 268
1320 268 265 268
1380 268 265 268
1440 268 265 268
1500 268 265 268
1560 268 265 268
1620 268 265 268
1680 268 265 268
1740 268 265 268
1800 268 265 268
1860 268 265 268
1920 268 265 268
1980 268 265 268
2040 268 265 268
2100 268 265 268
2160 268 265 268
2220 268 265 268
2280 268 265 268
2340 268 265 268
2400 268 265 268
2460 268 265 268
2520 268 265 268
2580 268 265 268
2640 268 265 268
2700 268 265 268
2760 268 265 268
2820 268 265 268
2880 268 265 268
2940 268 265 268
3000 268 265 268
3060 268 265 268
3120 268 265 268
3180 268 265 268
3240 268 265 268
3300 268 265 268
3360 268 265 268
3420 268 265 268
3480 268 265 269
3540 268 265 269
3600 268 265 269
3660 268 265 269
3720 268 265 269
3780 268 265 269
3840 268 265 269
3900 268 265 269
3960 268 265 269
4020 268 265 269
4080 268 265 269
4140 268 265 269
4200 268 265 269
4260 268 265 269
4320 268 265 269
4380 268 265 269
4440 268 265 269
4500 268 265 269
4560 268 265 269
4620 268 265 269
4680 268 265 269
4740 268 265 269
4800 268 265 269
4860 268 265 269
4920 268 265 269
4980 268 265 269
5040 268 265 269
5100 268 265 269
5160 268 265 269
5220 268 265 269
5280 268 265 269
5340 268 265 269
5400 268 265 269
5460 268 265 269
5520 268 265 269
5580 268 265 269
5640 268 265 269
5700 268 265 269
5760 268 265 269
5820 268 265 269
5880 268 265 269
5940 268 265 269
6000 268 265 269
6060 268 265 269
6120 268 265 269
6180 268 265 269
6240 268 265 269
6300 268 265 269
6360 268 265 269
6420 268 265 269
6480 268 265 269
6540 268 265 269
6600 268 265 269
6660 268 265 269
6720 268 265 269
6780 268 265 269
6840 268 265 269
6900 268 265 269
6960 268 265 269
7020 268 265 269
7080 268 265 269
7140 268 265 269
7200 268 265 269
7260 268 265 269
7320 268 265 269
7380 268 265 269
7440 268 265 269
7500 268 265 269
7560 268 266 269
7620 268 266 269
7680 268 266 269
7740 268 266 269
7800 268 266 269
7860 268 266 269
7920 268 266 269
7980 268 266 269
8040 268 266 269
8100 268 266 269
8160 268 266 269
8220 268 266 269
8280 268 266 269
8340 268 266 269
8400 268 266 269
8460 268 266 269
8520 268 266 269
8580 268 266 269
8640 268 266 269
8700 268 266 269
8760 268 266 269
8820 268 266 269
8880 268 266 269
8940 268 266 269
9000 268 266 269
9060 269 266 269
9120 269 266 269
9180 269 266 269
9240 269 266 269
9300 269 266 269
9360 269 266 269
9420 269 266 269
9480 269 266 269
9540 269 266 269
9600 269 266 269
9660 269 266 269
9720 269 266 269
9780 269 266 269
9840 269 266 269
9900 269 266 269
9960 269 266 269
10020 269 266 269
10080 269 266 269
10140 269 266 269
10200 269 266 269
10260 269 266 269
10320 269 266 269
10380 269 266 269
10440 269 266 269
10500 269 266 269
10560 269 266 269
10620 269 266 269
10680 269 266 269
10740 269 266 269
10800 269 266 269
10860 269 266 269
10920 269 266 269
10980 269 266 269
11040 269 266 269
11100 269 266 269
11160 269 266 269
11220 269 266 269
11280 269 266 269
11340 269 266 269
11400 269 266 269
11460 269 266 269
11520 269 266 269
11580 269 266 269
11640 269 266 269
11700 269 266 269
11760 269 266 269
11820 269 266 269
11880 269 266 269
11940 269 266 269
12000 269 266 269
12060 269 266 269
12120 269 266 269
12180 269 266 269
12240 269 266 269
12300 269 266 269
12360 269 266 269
12420 269 266 269
12480 269 266 269
12540 269 266 269
12600 269 266 269
12660 269 266 269
12720 269 266 269
12780 269 266 269
12840 269 266 269
12900 269 266 269
12960 269 266 269
13020 269 266 269
13080 269 266 269
13140 269 266 269
13200 269 266 269
13260 269 266 269
13320 269 266 269
13380 269 266 269
13440 269 266 269
13500 269 266 269
13560 269 266 269
13620 269 266 269
13680 269 266 269
13740 269 266 269
13800 269 266 269
13860 269 266 269
13920 269 266 269
13980 269 266 269
14040 269 266 269
14100 269 266 269
14160 269 266 269
14220 269 266 269
14280 269 266 269
14340 269 266 269
