ts,run_time,edges_found,paths_total,execs_done,execs_per_sec
1779574018,61,268,378,722420,13342.44
1779574023,66,268,380,792553,13590.28
1779574028,71,268,381,861149,13190.31
1779574033,76,268,387,926216,12889.91
1779574038,81,268,390,992348,12986.00
1779574043,86,268,391,1062938,14088.86
1779574048,91,268,394,1125966,13130.64
1779574053,96,268,395,1199658,14085.98
1779574058,101,268,398,1269058,13197.26
1779574063,106,268,398,1336989,13312.77
1779574069,112,268,398,1407921,14011.73
1779574074,117,268,398,1475792,13604.83
1779574079,122,268,398,1540939,13151.25
1779574084,127,268,398,1610752,13964.26
1779574089,132,268,399,1676541,13210.77
1779574094,137,268,402,1744997,13599.92
1779574099,142,268,404,1813847,13345.56
1779574104,147,268,408,1880893,12969.70
1779574109,152,268,410,1941754,12319.92
1779574114,157,268,414,2004247,12410.87
1779574119,162,268,414,2070521,12898.07
1779574124,167,268,415,2142587,14358.14
1779574129,172,268,415,2207320,12966.24
1779574134,177,268,415,2270382,12771.34
1779574139,182,268,415,2337081,13249.53
1779574144,187,268,416,2403214,13124.02
1779574149,192,268,416,2464603,12050.49
1779574155,198,268,416,2531198,12808.12
1779574160,203,268,416,2594380,12796.47
1779574165,208,268,416,2658200,12476.07
1779574170,213,268,416,2720291,12576.91
1779574175,218,268,416,2783168,12379.64
1779574180,223,268,416,2852846,13239.24
1779574185,228,268,416,2920627,13444.19
1779574190,233,268,416,2988792,13342.83
1779574195,238,268,417,3061659,14048.75
1779574200,243,268,417,3130504,13578.72
1779574205,248,268,419,3196994,13581.56
1779574210,253,268,419,3259900,12790.47
1779574215,258,268,419,3320102,12267.59
1779574220,263,268,419,3381945,12262.11
1779574226,269,268,421,3445489,12616.97
1779574231,274,268,421,3515337,13731.73
1779574236,279,268,421,3590766,14087.63
1779574241,284,268,421,3650792,12370.79
1779574246,289,268,421,3709721,11488.63
1779574251,294,268,422,3775928,12534.78
1779574256,299,268,422,3836696,11804.14
1779574261,304,268,422,3895947,11567.67
1779574266,309,268,422,3954006,11831.32
1779574271,314,268,422,4018626,12620.85
1779574277,320,268,422,4081505,12466.60
1779574282,325,268,422,4146918,12981.59
1779574287,330,268,422,4207574,12033.62
1779574292,335,268,422,4268802,12071.41
1779574297,340,268,422,4337774,13436.60
1779574302,345,268,422,4399075,12407.99
1779574307,350,268,423,4461202,11659.42
1779574312,355,268,423,4529117,12877.83
1779574317,360,268,423,4590234,11985.66
1779574322,365,268,423,4655180,12670.50
1779574327,370,268,423,4714448,11814.40
1779574332,375,268,423,4767374,10751.09
1779574337,380,268,423,4824200,11040.14
1779574343,386,268,423,4885428,12154.77
1779574348,391,268,423,4945242,11502.94
1779574353,396,268,424,5005142,11814.48
1779574358,401,268,424,5060927,11071.67
1779574363,406,268,424,5118411,11357.26
1779574368,411,268,424,5180444,12032.52
1779574373,416,268,424,5243268,12265.53
1779574378,421,268,425,5304605,11961.68
1779574383,426,268,425,5363284,11458.82
1779574388,431,268,426,5418940,11294.93
1779574394,437,268,428,5480092,11816.67
1779574399,442,268,428,5540487,12030.92
1779574404,447,268,428,5605297,12644.91
1779574409,452,268,429,5669751,12537.05
1779574414,457,268,429,5736771,13096.38
1779574419,462,268,429,5802987,12946.28
1779574424,467,268,429,5862733,12318.92
1779574429,472,268,429,5928233,12670.83
1779574434,477,268,429,5991514,12543.61
1779574439,482,268,429,6051547,12252.26
1779574444,487,268,429,6116334,12668.79
1779574449,492,268,429,6179925,12368.51
1779574454,497,268,429,6244152,12807.69
1779574459,502,268,429,6307878,12624.31
1779574465,508,268,429,6374010,12740.68
1779574470,513,268,429,6440485,13459.20
1779574475,518,268,429,6501663,11881.13
1779574480,523,268,429,6565848,12643.95
1779574485,528,268,429,6630829,12822.21
1779574490,533,268,429,6696739,12352.56
1779574495,538,268,429,6762587,12783.45
1779574500,543,268,429,6819068,11427.05
1779574505,548,268,429,6874336,11223.15
1779574510,553,268,429,6935610,12016.63
1779574515,558,268,429,7002112,13269.21
1779574520,563,268,429,7067593,12546.66
1779574526,569,268,429,7129309,12415.30
