ts,run_time,edges_found,paths_total,execs_done,execs_per_sec
1779559618,61,267,383,523190,7988.24
1779559623,66,267,384,566733,8405.22
1779559628,71,267,386,613938,9628.45
1779559633,76,267,390,664842,10045.50
1779559638,81,267,398,716855,9521.18
1779559643,86,267,398,763501,9030.55
1779559649,92,267,401,811173,9410.14
1779559654,97,267,402,864617,10349.25
1779559659,102,267,404,909996,9165.26
1779559664,107,267,405,957221,9037.53
1779559669,112,267,408,1002320,9111.84
1779559674,117,267,410,1043514,8764.26
1779559679,122,267,412,1085643,8205.45
1779559684,127,267,413,1127404,8422.00
1779559689,132,267,413,1167903,7523.93
1779559695,138,267,413,1223959,10361.17
1779559700,143,267,414,1276770,10273.63
1779559705,148,267,414,1325871,9689.96
1779559710,153,267,414,1380874,10803.95
1779559715,158,267,414,1433403,10164.34
1779559720,163,267,416,1494123,11657.96
1779559725,168,267,417,1540266,9345.58
1779559730,173,267,418,1582313,8301.73
1779559735,178,267,418,1614179,6775.26
1779559740,183,267,418,1647925,6764.83
1779559746,189,267,418,1687159,7541.62
1779559751,194,267,418,1732830,8787.25
1779559756,199,267,420,1780221,9341.57
1779559761,204,267,420,1823148,8740.94
1779559766,209,267,420,1863757,8233.28
1779559771,214,267,421,1913388,10050.60
1779559776,219,267,421,1954982,7829.09
1779559781,224,267,421,1999610,9126.30
1779559787,230,267,421,2054270,9943.71
1779559792,235,267,421,2109895,10811.57
1779559797,240,267,421,2167168,11208.32
1779559802,245,267,421,2223734,10647.06
1779559807,250,267,422,2270085,9217.60
1779559812,255,267,422,2322798,10501.91
1779559817,260,267,424,2375505,10345.86
1779559822,265,267,426,2415479,8619.31
1779559828,271,267,426,2462466,9121.97
1779559833,276,267,426,2506681,8822.26
1779559838,281,267,426,2552570,8444.16
1779559843,286,267,427,2587570,7399.27
1779559848,291,267,427,2624009,7001.70
1779559853,296,267,427,2665737,7869.37
1779559858,301,267,427,2700759,7042.71
1779559863,306,267,427,2729256,6014.10
1779559869,312,267,427,2766923,7013.84
1779559874,317,267,428,2802541,7053.03
1779559879,322,267,428,2838179,6979.58
1779559884,327,267,428,2870414,6102.48
1779559889,332,267,428,2903511,6227.74
1779559894,337,267,429,2936644,6170.39
1779559899,342,267,429,2970917,6810.25
1779559904,347,267,429,3004246,6627.31
1779559909,352,267,429,3037266,6527.39
1779559915,358,267,429,3072537,6827.76
1779559920,363,267,429,3105658,6709.75
1779559925,368,267,430,3144775,7790.74
1779559930,373,267,430,3184746,7691.25
1779559935,378,267,430,3224218,7997.01
1779559940,383,267,430,3260491,6977.87
1779559945,388,267,430,3295967,6746.23
1779559950,393,267,430,3327483,6544.92
1779559955,398,267,430,3364064,7136.15
1779559961,404,267,430,3400403,7118.90
1779559966,409,267,430,3441641,7407.96
1779559971,414,267,430,3475378,6719.89
1779559976,419,267,430,3513457,7455.36
1779559981,424,267,431,3551128,7404.85
1779559986,429,267,432,3586667,6899.76
1779559991,434,267,433,3627709,7864.98
1779559996,439,267,434,3666371,7979.09
1779560002,445,267,434,3699234,6709.76
1779560007,450,267,434,3730628,6291.07
1779560012,455,267,434,3762232,6300.94
1779560017,460,267,434,3794831,6363.29
1779560022,465,267,438,3825575,6442.00
1779560027,470,267,438,3860190,6659.10
1779560032,475,267,439,3896671,6597.81
1779560037,480,267,440,3931258,6674.85
1779560043,486,267,440,3965537,6292.91
1779560048,491,267,440,3998701,6529.76
1779560053,496,267,440,4030838,6439.07
1779560058,501,267,440,4064274,6953.84
1779560063,506,267,440,4096938,6331.40
1779560068,511,267,440,4128913,6575.89
1779560073,516,267,441,4164874,6770.00
1779560078,521,267,441,4204631,7984.02
1779560084,527,267,441,4239763,6959.73
1779560089,532,267,441,4270384,6421.81
1779560094,537,267,441,4298897,5774.53
1779560099,542,267,441,4335104,6768.20
1779560104,547,267,441,4367677,6681.07
1779560109,552,267,442,4404059,6818.72
1779560114,557,267,442,4439972,7222.33
1779560119,562,267,442,4473201,6438.73
1779560125,568,267,442,4507895,7112.92
1779560130,573,267,442,4535478,5547.33
1779560135,578,267,442,4565400,5855.91
1779560140,583,267,442,4601342,6950.43
1779560145,588,267,442,4633238,6734.76
1779560150,593,267,442,4665388,6478.71
1779560155,598,267,442,4696096,5829.36
1779560161,604,268,467,4732309,6582.39
1779560166,609,268,472,4757159,5439.55
1779560171,614,268,477,4787843,5953.45
1779560176,619,268,481,4811598,4610.09
1779560181,624,268,484,4843592,5882.32
1779560186,629,268,491,4877981,6650.30
1779560191,634,268,497,4907736,5784.53
1779560196,639,268,499,4933853,5737.38
1779560201,644,268,501,4961023,5800.13
1779560206,649,268,503,4994113,6442.95
1779560211,654,268,505,5021922,5612.38
1779560217,660,268,507,5049648,5116.83
1779560222,665,268,509,5078529,5505.41
1779560227,670,268,511,5106384,5838.01
1779560232,675,268,512,5139525,5968.64
1779560237,680,268,513,5161723,4723.72
1779560242,685,268,514,5184781,4093.39
1779560247,690,268,515,5212986,5144.75
1779560252,695,268,517,5239357,5546.87
1779560258,701,268,519,5271406,5980.14
1779560263,706,268,521,5305126,6134.44
1779560268,711,268,521,5328209,4840.58
1779560273,716,268,522,5365274,7115.80
1779560278,721,268,524,5393211,6009.31
1779560283,726,268,524,5420035,5503.98
1779560288,731,268,524,5452020,6066.16
1779560293,736,268,525,5479161,1923.04
1779560298,741,268,526,5509867,5350.12
1779560303,746,268,527,5543035,5887.83
1779560308,751,268,528,5571690,5365.42
1779560314,757,268,528,5584842,2841.86
1779560319,762,268,532,5619170,6140.83
1779560324,767,268,532,5656535,7402.66
1779560329,772,268,532,5690794,6846.10
1779560334,777,268,534,5726406,6985.61
1779560339,782,268,537,5763206,7323.50
1779560344,787,268,538,5793890,6323.37
1779560349,792,268,539,5826687,2875.27
1779560354,797,268,539,5860039,6159.29
1779560360,803,268,540,5896878,6741.43
1779560365,808,268,541,5932360,6791.98
1779560370,813,268,543,5969186,7418.03
1779560375,818,268,543,6005983,7054.76
1779560380,823,268,544,6038123,6407.67
1779560385,828,268,546,6066527,7808.02
1779560390,833,268,547,6099145,6284.60
1779560395,838,268,547,6128360,6059.82
1779560401,844,268,547,6159669,6064.83
1779560406,849,268,548,6182552,5396.86
1779560411,854,268,552,6213632,5956.27
1779560416,859,268,553,6252619,7622.15
1779560421,864,268,557,6283676,6503.57
1779560426,869,268,558,6318232,6725.33
1779560431,874,268,558,6350947,6939.91
1779560436,879,268,558,6396321,8932.59
1779560441,884,268,558,6428909,944.83
1779560446,889,268,559,6449416,3774.54
1779560452,895,268,559,6481755,5893.08
1779560457,900,268,559,6515953,6590.62
1779560462,905,268,559,6544977,6128.98
1779560467,910,268,559,6574532,5992.38
1779560472,915,268,560,6612827,7662.69
1779560477,920,268,568,6657917,8694.88
1779560482,925,268,569,6698126,8292.93
1779560487,930,268,569,6749450,10852.70
1779560492,935,268,572,6803771,11040.74
1779560498,941,268,573,6854079,9637.51
1779560503,946,268,573,6921949,12313.77
1779560508,951,268,573,6967741,10300.99
1779560513,956,268,573,7005725,7864.12
1779560518,961,268,574,7049676,6985.22
1779560523,966,268,574,7090612,7527.11
1779560528,971,268,576,7126013,6914.07
1779560533,976,268,576,7159413,6435.69
1779560538,981,268,577,7195959,7225.92
1779560544,987,268,577,7233913,7315.50
1779560549,992,268,578,7271085,7027.99
1779560554,997,268,580,7314442,8647.01
1779560559,1002,268,580,7363991,9435.65
1779560564,1007,268,580,7407677,8744.80
1779560569,1012,268,580,7450709,8608.68
1779560574,1017,268,580,7505420,9979.25
1779560579,1022,268,580,7558672,10206.80
1779560584,1027,268,581,7600384,8505.12
1779560590,1033,268,581,7641473,8438.01
1779560595,1038,268,582,7683777,8828.41
1779560600,1043,268,583,7723949,9043.12
1779560605,1048,268,583,7770566,9114.24
1779560610,1053,268,584,7824938,10392.53
1779560615,1058,268,584,7869416,7305.25
1779560620,1063,268,585,7914061,8722.84
1779560625,1068,268,587,7960988,8736.72
1779560631,1074,268,588,8006830,2229.12
1779560636,1079,268,588,8053613,8278.45
1779560641,1084,268,588,8103783,9467.35
1779560646,1089,268,590,8133613,698.69
1779560651,1094,268,590,8178576,3138.46
1779560656,1099,268,590,8230014,8619.01
1779560661,1104,268,591,8282849,10603.62
1779560666,1109,268,591,8323249,8504.73
1779560671,1114,268,591,8368937,8845.94
1779560676,1119,268,591,8415905,9362.98
1779560681,1124,268,592,8461939,9606.42
1779560687,1130,268,592,8517320,10463.13
1779560692,1135,268,592,8564800,9552.03
1779560697,1140,268,592,8611350,8912.86
1779560702,1145,268,592,8662090,9966.81
1779560707,1150,268,592,8707320,5551.69
1779560712,1155,268,593,8750658,7868.01
1779560717,1160,268,593,8798312,8819.22
1779560722,1165,268,593,8839938,8454.69
1779560727,1170,268,593,8885516,9452.11
1779560732,1175,268,593,8925517,8446.04
1779560737,1180,268,593,8976159,9454.82
1779560743,1186,268,593,9016068,1319.15
1779560748,1191,268,593,9057395,8672.58
1779560753,1196,268,594,9097815,7696.15
1779560758,1201,268,594,9134113,7073.88
1779560763,1206,268,596,9163969,6368.59
1779560768,1211,268,596,9201208,7515.29
1779560773,1216,268,596,9231928,6499.50
1779560778,1221,268,596,9262656,5759.82
1779560783,1226,268,596,9291938,5900.70
1779560789,1232,268,596,9325648,6126.10
1779560794,1237,268,596,9362307,7576.77
1779560799,1242,268,596,9411400,9240.82
1779560804,1247,268,596,9440490,6147.61
1779560809,1252,268,596,9473315,6512.05
1779560814,1257,268,596,9511621,7248.17
1779560819,1262,268,596,9553816,7924.49
1779560824,1267,268,596,9588555,6845.41
1779560830,1273,268,596,9630882,7939.87
1779560835,1278,268,596,9672370,8356.81
1779560840,1283,268,596,9707171,7176.99
1779560845,1288,268,596,9735380,5944.47
1779560850,1293,268,596,9772332,6905.52
1779560855,1298,268,596,9802368,5744.23
1779560860,1303,268,596,9842279,7429.89
1779560866,1309,268,596,9881388,7517.75
1779560871,1314,268,596,9924969,8499.25
1779560876,1319,268,597,9987043,11192.77
1779560881,1324,268,597,10047254,11781.48
1779560886,1329,268,597,10101933,10451.02
1779560891,1334,268,597,10162895,11621.44
1779560896,1339,268,597,10226451,12375.54
1779560902,1345,268,597,10288262,12422.41
1779560907,1350,268,597,10347217,11994.29
1779560912,1355,268,597,10407549,11764.44
1779560917,1360,268,597,10469851,12136.89
1779560922,1365,268,597,10530689,12155.00
1779560927,1370,268,597,10592374,11883.38
1779560932,1375,268,597,10654599,12053.66
1779560937,1380,268,597,10713836,11615.44
1779560942,1385,268,597,10773967,11806.64
1779560947,1390,268,597,10834348,12305.45
1779560952,1395,268,597,10895962,12180.32
1779560958,1401,268,597,10958120,12230.98
1779560963,1406,268,597,11017439,11898.78
1779560968,1411,268,597,11082564,13386.92
1779560973,1416,268,597,11147220,12600.43
